Product/Internal Reference,Product/Name,Product/Barcode,Financial Category,Available Quantity,Quantity,Lot/Serial Number,Location,Lot/Serial Number/Production Date,Lot/Serial Number/Expiration Date,Lot/Serial Number/Removal Date,Lot/Serial Number/Alert Date,Product/Breadfast Barcode
PROD-001975,Argento Clear Offer,BAR-0000001975,All / Consumables / Cons - Operations,318.0,318.0,LOT-0000001975,KAT/Stock,2023-04-17,2027-01-04,2026-11-14,2026-11-14,BREAD-0000001975
PROD-001976,Shanon,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,224.0,224.0,LOT-0000001976,KAT/Stock/Zone (B),2025-10-23,2027-01-12,2026-11-26,2026-11-26,BREAD-0000001976
PROD-001977,Harvest Tomato Paste,BAR-0000001977,All / Consumables / Cons - Cleaning,171.0,171.0,LOT-0000001977,KAT/Stock/Zone (F),2024-09-07,2028-12-07,2028-11-06,2028-11-06,BREAD-0000001977
PROD-001978,A4 Paper,BAR-0000001978,Commodities,322.0,322.0,LOT-0000001978,KAT/Stock,2025-08-23,2027-09-03,2027-05-03,2027-05-03,BREAD-0000001978
PROD-001979,Rhodes Natural Feta Gold,BAR-0000001979,Personal Care,441.0,441.0,LOT-0000001979,KAT/Stock,2025-05-09,2026-05-11,2026-01-13,2026-01-13,BREAD-0000001979
PROD-001980,Shanon,UNKNOWN_BARCODE,Coffee & Other Drinks,448.0,448.0,LOT-0000001980,KAT/Stock/Zone (F),2023-07-20,2026-06-02,2026-03-26,2026-03-26,BREAD-0000001980
PROD-001981,Big Tissue Roll,BAR-0000001981,All / ASTS / Furniture,35.0,35.0,LOT-0000001981,KAT/Stock/Zone (B),2023-09-11,2027-10-26,2027-09-10,2027-09-10,BREAD-0000001981
PROD-001982,A4 Paper,BAR-0000001982,All / ASTS / Furniture,133.0,133.0,LOT-0000001982,KAT/Stock/Zone (A),2023-07-02,2026-08-03,2026-06-19,2026-06-19,BREAD-0000001982
PROD-001983,Shanon,BAR-0000001983,All / Consumables / Cons - Operations,36.0,36.0,LOT-0000001983,KAT/Stock/Zone (F),2025-09-07,2030-07-26,2030-02-16,2030-02-16,BREAD-0000001983
PROD-001984,Harvest Tomato Paste,UNKNOWN_BARCODE,Coffee & Other Drinks,92.0,92.0,LOT-0000001984,KAT/Stock/Zone (F),2024-05-04,2026-01-24,2025-11-14,2025-11-14,BREAD-0000001984
PROD-001985,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,All / ASTS / Furniture,74.0,74.0,LOT-0000001985,KAT/Stock,2024-05-19,2026-07-27,2026-04-26,2026-04-26,BREAD-0000001985
PROD-001986,Shanon,BAR-0000001986,Commodities,243.0,243.0,LOT-0000001986,KAT/Stock/Zone (A),2024-02-17,2026-12-29,2026-11-01,2026-11-01,BREAD-0000001986
PROD-001987,Rhodes Cheddar Cheese,BAR-0000001987,Water,182.0,182.0,LOT-0000001987,KAT/Stock/Zone (F),2024-02-08,2027-02-01,2026-08-26,2026-08-26,BREAD-0000001987
PROD-001988,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Centralized Fresh,204.0,204.0,LOT-0000001988,KAT/Stock/Zone (B),2023-08-24,2026-10-24,2026-06-10,2026-06-10,BREAD-0000001988
PROD-001989,Big Tissue Roll,UNKNOWN_BARCODE,All / ASTS / Furniture,458.0,458.0,LOT-0000001989,KAT/Stock/Zone (F),2025-05-08,2029-10-09,2029-05-29,2029-05-29,BREAD-0000001989
PROD-001990,Harvest Tomato Paste,BAR-0000001990,All / ASTS / Furniture,186.0,186.0,LOT-0000001990,KAT/Stock/Zone (B),2025-08-23,2027-09-02,2027-07-21,2027-07-21,BREAD-0000001990
PROD-001991,Argento Clear Offer,BAR-0000001991,All / Consumables / Cons - Cleaning,165.0,165.0,LOT-0000001991,KAT/Stock,2024-09-24,2029-04-01,2029-02-19,2029-02-19,BREAD-0000001991
PROD-001992,Puvana Natural Water,BAR-0000001992,Water,114.0,114.0,LOT-0000001992,KAT/Stock/Zone (F),2023-07-27,2025-07-26,2025-06-03,2025-06-03,BREAD-0000001992
PROD-001993,Puvana Natural Water,BAR-0000001993,All / ASTS / Furniture,408.0,408.0,LOT-0000001993,KAT/Stock/Zone (B),2023-05-20,2026-06-24,2026-04-28,2026-04-28,BREAD-0000001993
PROD-001994,Puvana Natural Water,UNKNOWN_BARCODE,Centralized Fresh,206.0,206.0,LOT-0000001994,KAT/Stock,2024-08-10,2026-10-11,2026-04-19,2026-04-19,BREAD-0000001994
PROD-001995,A4 Paper,BAR-0000001995,Commodities,244.0,244.0,LOT-0000001995,KAT/Stock,2024-08-09,2028-06-05,2028-01-27,2028-01-27,UNKNOWN_BREADFAST_BARCODE
PROD-001996,Big Tissue Roll,BAR-0000001996,All / ASTS / Furniture,332.0,332.0,LOT-0000001996,KAT/Stock,2025-07-05,2029-06-03,2028-12-22,2028-12-22,BREAD-0000001996
PROD-001997,Harvest Tomato Paste,BAR-0000001997,All / Consumables / Cons - Operations,489.0,489.0,LOT-0000001997,KAT/Stock/Zone (F),2025-08-24,2030-02-24,2029-12-27,2029-12-27,BREAD-0000001997
PROD-001998,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Water,160.0,160.0,LOT-0000001998,KAT/Stock,2024-07-23,2027-04-26,2027-02-22,2027-02-22,UNKNOWN_BREADFAST_BARCODE
PROD-001999,A4 Paper,BAR-0000001999,All / ASTS / Furniture,12.0,12.0,LOT-0000001999,KAT/Stock,2023-05-05,2025-11-18,2025-08-06,2025-08-06,BREAD-0000001999
PROD-002000,Big Tissue Roll,BAR-0000002000,Coffee & Other Drinks,293.0,293.0,LOT-0000002000,KAT/Stock/Zone (B),2023-05-14,2027-06-12,2027-04-28,2027-04-28,BREAD-0000002000
PROD-002001,Argento Clear Offer,BAR-0000002001,Water,441.0,441.0,LOT-0000002001,KAT/Stock,2025-09-22,2030-02-15,2029-12-21,2029-12-21,UNKNOWN_BREADFAST_BARCODE
PROD-002002,Rhodes Cheddar Cheese,BAR-0000002002,All / ASTS / Furniture,471.0,471.0,LOT-0000002002,KAT/Stock/Zone (F),2024-10-11,2026-06-11,2026-01-21,2026-01-21,BREAD-0000002002
PROD-002003,Harvest Tomato Paste,BAR-0000002003,Centralized Fresh,403.0,403.0,LOT-0000002003,KAT/Stock/Zone (A),2024-12-06,2028-03-29,2028-01-11,2028-01-11,BREAD-0000002003
PROD-002004,Puvana Natural Water,UNKNOWN_BARCODE,Commodities,235.0,235.0,LOT-0000002004,KAT/Stock,2024-07-21,2028-02-14,2027-09-01,2027-09-01,BREAD-0000002004
PROD-002005,Shanon,BAR-0000002005,Commodities,272.0,272.0,LOT-0000002005,KAT/Stock/Zone (F),2023-12-05,2025-10-02,2025-08-08,2025-08-08,BREAD-0000002005
PROD-002006,Harvest Tomato Paste,BAR-0000002006,Centralized Fresh,378.0,378.0,LOT-0000002006,KAT/Stock,2025-04-18,2027-04-22,2027-03-18,2027-03-18,BREAD-0000002006
PROD-002007,Elano Water Carton,BAR-0000002007,Water,113.0,113.0,LOT-0000002007,KAT/Stock/Zone (F),2023-11-18,2027-03-17,2026-10-04,2026-10-04,BREAD-0000002007
PROD-002008,Big Tissue Roll,BAR-0000002008,Personal Care,151.0,151.0,LOT-0000002008,KAT/Stock,2023-04-05,2025-01-03,2024-11-22,2024-11-22,BREAD-0000002008
PROD-002009,Flash,BAR-0000002009,All / Consumables / Cons - Cleaning,25.0,25.0,LOT-0000002009,KAT/Stock/Zone (B),2023-07-15,2024-09-21,2024-08-13,2024-08-13,BREAD-0000002009
PROD-002010,Argento Clear Offer,BAR-0000002010,All / Consumables / Cons - Cleaning,167.0,167.0,LOT-0000002010,KAT/Stock/Zone (A),2023-07-11,2024-08-25,2024-06-14,2024-06-14,BREAD-0000002010
PROD-002011,Rhodes Cheddar Cheese,BAR-0000002011,All / Consumables / Cons - Operations,31.0,31.0,LOT-0000002011,KAT/Stock/Zone (A),2024-10-17,2026-02-10,2025-09-24,2025-09-24,BREAD-0000002011
PROD-002012,Argento Clear Offer,BAR-0000002012,Personal Care,220.0,220.0,LOT-0000002012,KAT/Stock/Zone (F),2024-06-05,2026-11-03,2026-06-15,2026-06-15,BREAD-0000002012
PROD-002013,Harvest Tomato Paste,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,205.0,205.0,LOT-0000002013,KAT/Stock/Zone (F),2025-01-22,2029-07-22,2029-03-14,2029-03-14,BREAD-0000002013
PROD-002014,Flash,BAR-0000002014,Water,420.0,420.0,LOT-0000002014,KAT/Stock/Zone (A),2025-09-14,2028-12-23,2028-11-06,2028-11-06,BREAD-0000002014
PROD-002015,Elano Water Carton,BAR-0000002015,All / Consumables / Cons - Cleaning,341.0,341.0,LOT-0000002015,KAT/Stock/Zone (B),2025-10-02,2028-06-11,2028-05-02,2028-05-02,BREAD-0000002015
PROD-002016,Rhodes Natural Feta Gold,BAR-0000002016,All / Consumables / Cons - Operations,97.0,97.0,LOT-0000002016,KAT/Stock/Zone (B),2023-01-13,2026-02-06,2025-12-29,2025-12-29,BREAD-0000002016
PROD-002017,Shanon,UNKNOWN_BARCODE,All / ASTS / Furniture,90.0,90.0,LOT-0000002017,KAT/Stock,2023-09-11,2027-12-20,2027-09-29,2027-09-29,BREAD-0000002017
PROD-002018,Flash,BAR-0000002018,All / Consumables / Cons - Cleaning,475.0,475.0,LOT-0000002018,KAT/Stock/Zone (B),2023-03-22,2026-11-05,2026-08-14,2026-08-14,BREAD-0000002018
PROD-002019,Big Tissue Roll,UNKNOWN_BARCODE,Water,376.0,376.0,LOT-0000002019,KAT/Stock/Zone (A),2024-01-08,2028-12-29,2028-11-24,2028-11-24,BREAD-0000002019
PROD-002020,Puvana Natural Water,BAR-0000002020,Water,213.0,213.0,LOT-0000002020,KAT/Stock/Zone (A),2024-01-29,2025-03-04,2024-10-20,2024-10-20,BREAD-0000002020
PROD-002021,Elano Water Carton,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,187.0,187.0,LOT-0000002021,KAT/Stock/Zone (B),2024-02-22,2027-08-14,2027-02-27,2027-02-27,BREAD-0000002021
PROD-002022,Shanon,BAR-0000002022,Commodities,56.0,56.0,LOT-0000002022,KAT/Stock/Zone (B),2025-12-18,2028-01-28,2027-11-27,2027-11-27,UNKNOWN_BREADFAST_BARCODE
PROD-002023,Rhodes Cheddar Cheese,BAR-0000002023,Coffee & Other Drinks,106.0,106.0,LOT-0000002023,KAT/Stock/Zone (A),2023-05-08,2028-04-15,2028-01-08,2028-01-08,BREAD-0000002023
PROD-002024,Puvana Natural Water,BAR-0000002024,All / Consumables / Cons - Operations,441.0,441.0,LOT-0000002024,KAT/Stock/Zone (A),2025-03-27,2027-05-12,2027-01-07,2027-01-07,BREAD-0000002024
PROD-002025,Harvest Tomato Paste,BAR-0000002025,Coffee & Other Drinks,194.0,194.0,LOT-0000002025,KAT/Stock/Zone (A),2025-02-12,2027-06-14,2027-02-17,2027-02-17,BREAD-0000002025
PROD-002026,Flash,UNKNOWN_BARCODE,Centralized Fresh,21.0,21.0,LOT-0000002026,KAT/Stock/Zone (A),2025-06-10,2028-07-27,2028-05-04,2028-05-04,BREAD-0000002026
PROD-002027,Shanon,BAR-0000002027,Centralized Fresh,185.0,185.0,LOT-0000002027,KAT/Stock/Zone (A),2023-10-09,2027-01-17,2026-10-29,2026-10-29,BREAD-0000002027
PROD-002028,A4 Paper,UNKNOWN_BARCODE,Commodities,367.0,367.0,LOT-0000002028,KAT/Stock/Zone (B),2023-07-26,2028-03-30,2028-02-05,2028-02-05,BREAD-0000002028
PROD-002029,Rhodes Natural Feta Gold,BAR-0000002029,Centralized Fresh,84.0,84.0,LOT-0000002029,KAT/Stock/Zone (B),2024-02-07,2028-02-07,2027-09-26,2027-09-26,BREAD-0000002029
PROD-002030,Rhodes Natural Feta Gold,BAR-0000002030,Coffee & Other Drinks,79.0,79.0,LOT-0000002030,KAT/Stock,2023-08-06,2026-05-10,2026-03-19,2026-03-19,BREAD-0000002030
PROD-002031,Elano Water Carton,BAR-0000002031,All / ASTS / Furniture,328.0,328.0,LOT-0000002031,KAT/Stock,2023-11-22,2026-01-07,2025-10-24,2025-10-24,BREAD-0000002031
PROD-002032,Rhodes Cheddar Cheese,BAR-0000002032,Water,76.0,76.0,LOT-0000002032,KAT/Stock/Zone (F),2025-01-25,2026-05-28,2025-12-09,2025-12-09,BREAD-0000002032
PROD-002033,Elano Water Carton,UNKNOWN_BARCODE,Commodities,329.0,329.0,LOT-0000002033,KAT/Stock,2025-10-08,2030-08-16,2030-02-23,2030-02-23,BREAD-0000002033
PROD-002034,A4 Paper,BAR-0000002034,Centralized Fresh,382.0,382.0,LOT-0000002034,KAT/Stock/Zone (B),2023-05-10,2027-02-08,2026-12-27,2026-12-27,BREAD-0000002034
PROD-002035,Big Tissue Roll,BAR-0000002035,Water,432.0,432.0,LOT-0000002035,KAT/Stock,2023-01-03,2025-10-16,2025-06-04,2025-06-04,BREAD-0000002035
PROD-002036,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,376.0,376.0,LOT-0000002036,KAT/Stock,2024-07-08,2026-02-24,2025-09-26,2025-09-26,BREAD-0000002036
PROD-002037,Argento Clear Offer,BAR-0000002037,Commodities,340.0,340.0,LOT-0000002037,KAT/Stock/Zone (B),2023-09-23,2025-11-28,2025-09-27,2025-09-27,UNKNOWN_BREADFAST_BARCODE
PROD-002038,Big Tissue Roll,BAR-0000002038,All / ASTS / Furniture,176.0,176.0,LOT-0000002038,KAT/Stock/Zone (A),2025-07-11,2027-11-13,2027-06-17,2027-06-17,BREAD-0000002038
PROD-002039,Rhodes Cheddar Cheese,BAR-0000002039,All / Consumables / Cons - Operations,425.0,425.0,LOT-0000002039,KAT/Stock/Zone (B),2023-01-24,2024-04-18,2024-02-18,2024-02-18,BREAD-0000002039
PROD-002040,Rhodes Cheddar Cheese,BAR-0000002040,Water,423.0,423.0,LOT-0000002040,KAT/Stock/Zone (B),2024-06-17,2028-05-05,2028-03-14,2028-03-14,BREAD-0000002040
PROD-002041,A4 Paper,BAR-0000002041,Personal Care,454.0,454.0,LOT-0000002041,KAT/Stock/Zone (F),2023-01-03,2027-05-10,2026-12-17,2026-12-17,BREAD-0000002041
PROD-002042,Harvest Tomato Paste,BAR-0000002042,Coffee & Other Drinks,173.0,173.0,LOT-0000002042,KAT/Stock/Zone (F),2025-05-29,2028-10-19,2028-07-28,2028-07-28,BREAD-0000002042
PROD-002043,A4 Paper,BAR-0000002043,Personal Care,405.0,405.0,LOT-0000002043,KAT/Stock/Zone (F),2024-03-02,2025-08-04,2025-04-13,2025-04-13,BREAD-0000002043
PROD-002044,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Centralized Fresh,81.0,81.0,LOT-0000002044,KAT/Stock/Zone (A),2023-01-04,2026-01-29,2025-11-05,2025-11-05,BREAD-0000002044
PROD-002045,Shanon,BAR-0000002045,Personal Care,20.0,20.0,LOT-0000002045,KAT/Stock,2025-03-18,2028-08-31,2028-05-02,2028-05-02,BREAD-0000002045
PROD-002046,Big Tissue Roll,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,178.0,178.0,LOT-0000002046,KAT/Stock/Zone (F),2025-02-22,2027-08-07,2027-07-01,2027-07-01,BREAD-0000002046
PROD-002047,A4 Paper,BAR-0000002047,Commodities,497.0,497.0,LOT-0000002047,KAT/Stock/Zone (B),2024-05-17,2025-10-15,2025-04-19,2025-04-19,UNKNOWN_BREADFAST_BARCODE
PROD-002048,Harvest Tomato Paste,BAR-0000002048,Coffee & Other Drinks,397.0,397.0,LOT-0000002048,KAT/Stock/Zone (F),2023-08-20,2027-08-24,2027-05-25,2027-05-25,BREAD-0000002048
PROD-002049,Flash,BAR-0000002049,Personal Care,329.0,329.0,LOT-0000002049,KAT/Stock/Zone (B),2025-05-22,2030-02-01,2029-11-10,2029-11-10,BREAD-0000002049
PROD-002050,Elano Water Carton,BAR-0000002050,All / Consumables / Cons - Cleaning,224.0,224.0,LOT-0000002050,KAT/Stock/Zone (A),2025-01-19,2026-07-09,2026-02-11,2026-02-11,BREAD-0000002050
PROD-002051,Rhodes Cheddar Cheese,BAR-0000002051,All / ASTS / Furniture,264.0,264.0,LOT-0000002051,KAT/Stock/Zone (F),2023-03-13,2028-02-08,2027-09-24,2027-09-24,BREAD-0000002051
PROD-002052,Argento Clear Offer,UNKNOWN_BARCODE,Water,401.0,401.0,LOT-0000002052,KAT/Stock/Zone (B),2023-03-29,2028-02-25,2027-10-31,2027-10-31,BREAD-0000002052
PROD-002053,Flash,UNKNOWN_BARCODE,Commodities,268.0,268.0,LOT-0000002053,KAT/Stock,2024-06-11,2027-07-12,2027-05-29,2027-05-29,BREAD-0000002053
PROD-002054,Rhodes Natural Feta Gold,BAR-0000002054,Coffee & Other Drinks,250.0,250.0,LOT-0000002054,KAT/Stock/Zone (A),2025-06-04,2030-03-20,2029-10-28,2029-10-28,BREAD-0000002054
PROD-002055,Puvana Natural Water,BAR-0000002055,Commodities,272.0,272.0,LOT-0000002055,KAT/Stock/Zone (B),2024-08-25,2028-10-19,2028-09-15,2028-09-15,BREAD-0000002055
PROD-002056,Harvest Tomato Paste,BAR-0000002056,Centralized Fresh,381.0,381.0,LOT-0000002056,KAT/Stock,2024-03-25,2028-12-13,2028-10-28,2028-10-28,BREAD-0000002056
PROD-002057,Argento Clear Offer,BAR-0000002057,All / Consumables / Cons - Operations,342.0,342.0,LOT-0000002057,KAT/Stock,2024-03-14,2027-02-04,2026-10-06,2026-10-06,BREAD-0000002057
PROD-002058,Puvana Natural Water,BAR-0000002058,All / ASTS / Furniture,408.0,408.0,LOT-0000002058,KAT/Stock/Zone (B),2023-05-06,2027-11-14,2027-06-21,2027-06-21,BREAD-0000002058
PROD-002059,Harvest Tomato Paste,UNKNOWN_BARCODE,Centralized Fresh,437.0,437.0,LOT-0000002059,KAT/Stock/Zone (F),2024-07-16,2026-01-26,2025-08-19,2025-08-19,BREAD-0000002059
PROD-002060,Shanon,BAR-0000002060,All / Consumables / Cons - Operations,271.0,271.0,LOT-0000002060,KAT/Stock,2025-11-07,2027-02-14,2026-08-22,2026-08-22,BREAD-0000002060
PROD-002061,Elano Water Carton,UNKNOWN_BARCODE,Personal Care,279.0,279.0,LOT-0000002061,KAT/Stock/Zone (A),2025-04-28,2030-02-20,2029-10-12,2029-10-12,BREAD-0000002061
PROD-002062,Flash,BAR-0000002062,Coffee & Other Drinks,222.0,222.0,LOT-0000002062,KAT/Stock,2025-05-14,2029-02-08,2028-08-14,2028-08-14,BREAD-0000002062
PROD-002063,Big Tissue Roll,BAR-0000002063,Water,74.0,74.0,LOT-0000002063,KAT/Stock/Zone (F),2025-07-12,2029-01-05,2028-08-28,2028-08-28,BREAD-0000002063
PROD-002064,Harvest Tomato Paste,BAR-0000002064,Coffee & Other Drinks,150.0,150.0,LOT-0000002064,KAT/Stock/Zone (A),2023-12-11,2026-02-10,2025-11-22,2025-11-22,BREAD-0000002064
PROD-002065,Big Tissue Roll,BAR-0000002065,All / Consumables / Cons - Cleaning,424.0,424.0,LOT-0000002065,KAT/Stock/Zone (A),2024-04-12,2026-11-19,2026-08-28,2026-08-28,BREAD-0000002065
PROD-002066,Elano Water Carton,BAR-0000002066,Commodities,358.0,358.0,LOT-0000002066,KAT/Stock/Zone (A),2025-09-07,2029-03-14,2028-09-27,2028-09-27,BREAD-0000002066
PROD-002067,Rhodes Cheddar Cheese,BAR-0000002067,All / Consumables / Cons - Cleaning,341.0,341.0,LOT-0000002067,KAT/Stock/Zone (B),2023-05-21,2027-07-20,2027-03-23,2027-03-23,BREAD-0000002067
PROD-002068,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,Commodities,416.0,416.0,LOT-0000002068,KAT/Stock,2025-10-26,2027-07-08,2027-02-16,2027-02-16,BREAD-0000002068
PROD-002069,Flash,UNKNOWN_BARCODE,Coffee & Other Drinks,104.0,104.0,LOT-0000002069,KAT/Stock/Zone (F),2024-10-30,2027-10-20,2027-08-16,2027-08-16,BREAD-0000002069
PROD-002070,Elano Water Carton,BAR-0000002070,Personal Care,41.0,41.0,LOT-0000002070,KAT/Stock/Zone (B),2024-09-22,2026-10-30,2026-07-03,2026-07-03,UNKNOWN_BREADFAST_BARCODE
PROD-002071,Elano Water Carton,UNKNOWN_BARCODE,Water,175.0,175.0,LOT-0000002071,KAT/Stock/Zone (B),2025-12-24,2029-08-09,2029-03-13,2029-03-13,BREAD-0000002071
PROD-002072,Shanon,BAR-0000002072,All / ASTS / Furniture,244.0,244.0,LOT-0000002072,KAT/Stock/Zone (A),2025-12-15,2028-07-16,2028-03-18,2028-03-18,BREAD-0000002072
PROD-002073,Puvana Natural Water,UNKNOWN_BARCODE,Water,252.0,252.0,LOT-0000002073,KAT/Stock/Zone (B),2025-03-08,2029-02-17,2028-10-13,2028-10-13,BREAD-0000002073
PROD-002074,Rhodes Natural Feta Gold,BAR-0000002074,Personal Care,273.0,273.0,LOT-0000002074,KAT/Stock,2025-08-12,2027-09-22,2027-06-25,2027-06-25,BREAD-0000002074
PROD-002075,Flash,BAR-0000002075,All / Consumables / Cons - Operations,446.0,446.0,LOT-0000002075,KAT/Stock/Zone (B),2023-08-03,2028-06-10,2028-02-12,2028-02-12,BREAD-0000002075
PROD-002076,Rhodes Cheddar Cheese,BAR-0000002076,Coffee & Other Drinks,333.0,333.0,LOT-0000002076,KAT/Stock/Zone (B),2025-01-12,2026-09-10,2026-07-21,2026-07-21,UNKNOWN_BREADFAST_BARCODE
PROD-002077,Rhodes Cheddar Cheese,BAR-0000002077,Coffee & Other Drinks,91.0,91.0,LOT-0000002077,KAT/Stock/Zone (A),2023-02-27,2024-04-13,2024-02-20,2024-02-20,BREAD-0000002077
PROD-002078,A4 Paper,BAR-0000002078,Coffee & Other Drinks,10.0,10.0,LOT-0000002078,KAT/Stock/Zone (A),2025-06-24,2026-10-16,2026-04-30,2026-04-30,BREAD-0000002078
PROD-002079,Elano Water Carton,BAR-0000002079,Coffee & Other Drinks,151.0,151.0,LOT-0000002079,KAT/Stock/Zone (B),2024-02-09,2027-11-21,2027-08-09,2027-08-09,BREAD-0000002079
PROD-002080,Harvest Tomato Paste,BAR-0000002080,All / ASTS / Furniture,188.0,188.0,LOT-0000002080,KAT/Stock/Zone (A),2024-12-21,2028-03-05,2027-12-07,2027-12-07,BREAD-0000002080
PROD-002081,Shanon,BAR-0000002081,All / Consumables / Cons - Cleaning,447.0,447.0,LOT-0000002081,KAT/Stock/Zone (F),2025-02-21,2026-06-30,2026-01-03,2026-01-03,BREAD-0000002081
PROD-002082,Rhodes Natural Feta Gold,BAR-0000002082,Personal Care,163.0,163.0,LOT-0000002082,KAT/Stock/Zone (F),2023-04-07,2027-06-28,2027-03-11,2027-03-11,BREAD-0000002082
PROD-002083,Rhodes Cheddar Cheese,BAR-0000002083,All / Consumables / Cons - Operations,125.0,125.0,LOT-0000002083,KAT/Stock/Zone (F),2024-08-09,2028-04-28,2028-03-23,2028-03-23,BREAD-0000002083
PROD-002084,Flash,BAR-0000002084,Personal Care,210.0,210.0,LOT-0000002084,KAT/Stock/Zone (B),2024-06-01,2026-10-08,2026-07-18,2026-07-18,BREAD-0000002084
PROD-002085,A4 Paper,BAR-0000002085,Centralized Fresh,460.0,460.0,LOT-0000002085,KAT/Stock,2024-10-29,2026-01-18,2025-11-26,2025-11-26,BREAD-0000002085
PROD-002086,Flash,UNKNOWN_BARCODE,Centralized Fresh,96.0,96.0,LOT-0000002086,KAT/Stock,2025-12-22,2029-08-12,2029-05-22,2029-05-22,BREAD-0000002086
PROD-002087,Shanon,BAR-0000002087,Centralized Fresh,308.0,308.0,LOT-0000002087,KAT/Stock/Zone (A),2024-06-24,2027-04-23,2027-03-12,2027-03-12,BREAD-0000002087
PROD-002088,Harvest Tomato Paste,BAR-0000002088,All / Consumables / Cons - Cleaning,338.0,338.0,LOT-0000002088,KAT/Stock,2025-03-26,2029-02-06,2028-10-22,2028-10-22,BREAD-0000002088
PROD-002089,A4 Paper,BAR-0000002089,Water,46.0,46.0,LOT-0000002089,KAT/Stock,2023-07-10,2028-03-27,2027-11-24,2027-11-24,BREAD-0000002089
PROD-002090,A4 Paper,BAR-0000002090,All / ASTS / Furniture,307.0,307.0,LOT-0000002090,KAT/Stock/Zone (B),2025-07-05,2029-10-22,2029-07-13,2029-07-13,BREAD-0000002090
PROD-002091,Puvana Natural Water,BAR-0000002091,Coffee & Other Drinks,223.0,223.0,LOT-0000002091,KAT/Stock/Zone (A),2024-12-16,2029-12-10,2029-11-10,2029-11-10,BREAD-0000002091
PROD-002092,Rhodes Natural Feta Gold,BAR-0000002092,All / Consumables / Cons - Cleaning,462.0,462.0,LOT-0000002092,KAT/Stock,2024-06-22,2028-10-01,2028-05-21,2028-05-21,BREAD-0000002092
PROD-002093,A4 Paper,BAR-0000002093,Commodities,56.0,56.0,LOT-0000002093,KAT/Stock/Zone (F),2023-03-26,2026-06-11,2026-01-18,2026-01-18,BREAD-0000002093
PROD-002094,Puvana Natural Water,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,74.0,74.0,LOT-0000002094,KAT/Stock/Zone (A),2024-03-16,2028-02-13,2027-10-26,2027-10-26,UNKNOWN_BREADFAST_BARCODE
PROD-002095,Puvana Natural Water,BAR-0000002095,All / Consumables / Cons - Operations,253.0,253.0,LOT-0000002095,KAT/Stock/Zone (A),2025-02-28,2027-05-18,2027-03-09,2027-03-09,BREAD-0000002095
PROD-002096,Shanon,UNKNOWN_BARCODE,Centralized Fresh,150.0,150.0,LOT-0000002096,KAT/Stock/Zone (A),2023-12-05,2027-04-21,2027-03-10,2027-03-10,BREAD-0000002096
PROD-002097,Big Tissue Roll,BAR-0000002097,Commodities,58.0,58.0,LOT-0000002097,KAT/Stock/Zone (F),2025-09-30,2030-08-18,2030-06-23,2030-06-23,BREAD-0000002097
PROD-002098,Flash,BAR-0000002098,All / ASTS / Furniture,324.0,324.0,LOT-0000002098,KAT/Stock,2024-11-04,2029-06-07,2029-01-06,2029-01-06,UNKNOWN_BREADFAST_BARCODE
PROD-002099,Harvest Tomato Paste,BAR-0000002099,Centralized Fresh,439.0,439.0,LOT-0000002099,KAT/Stock/Zone (F),2024-12-30,2027-07-13,2027-05-05,2027-05-05,BREAD-0000002099
PROD-002100,Argento Clear Offer,BAR-0000002100,All / Consumables / Cons - Operations,85.0,85.0,LOT-0000002100,KAT/Stock/Zone (A),2023-11-13,2028-05-20,2028-02-05,2028-02-05,BREAD-0000002100
PROD-002101,Flash,BAR-0000002101,All / Consumables / Cons - Operations,169.0,169.0,LOT-0000002101,KAT/Stock/Zone (A),2023-03-17,2024-05-11,2024-02-20,2024-02-20,BREAD-0000002101
PROD-002102,A4 Paper,BAR-0000002102,Coffee & Other Drinks,145.0,145.0,LOT-0000002102,KAT/Stock/Zone (B),2025-08-31,2026-09-05,2026-05-19,2026-05-19,BREAD-0000002102
PROD-002103,Harvest Tomato Paste,BAR-0000002103,Water,326.0,326.0,LOT-0000002103,KAT/Stock/Zone (B),2025-09-25,2029-04-26,2029-02-22,2029-02-22,BREAD-0000002103
PROD-002104,Rhodes Cheddar Cheese,UNKNOWN_BARCODE,Coffee & Other Drinks,32.0,32.0,LOT-0000002104,KAT/Stock/Zone (B),2023-07-23,2026-02-20,2025-09-10,2025-09-10,BREAD-0000002104
PROD-002105,Big Tissue Roll,UNKNOWN_BARCODE,Water,2.0,2.0,LOT-0000002105,KAT/Stock/Zone (B),2024-02-28,2027-08-30,2027-06-14,2027-06-14,BREAD-0000002105
